SHAPE_ID,MBTA_ROUTE,STOP_ID
330039,33,6523
330039,33,6524
330039,33,6526
330039,33,6527
330039,33,6528
330039,33,6529
330039,33,6530
330039,33,6531
330039,33,26531
330039,33,6357
330039,33,16358
330039,33,6359
080015,08,17862
080015,08,1226
080015,08,11592
080015,08,11593
080015,08,1593
080015,08,64
080015,08,1
080015,08,2
080015,08,4
080015,08,5
080015,08,1787
080015,08,1788
34E0020,34E,20619
34E0020,34E,30619
34E0020,34E,40619
34E0020,34E,20620
34E0020,34E,30620
34E0020,34E,90620
34E0020,34E,90621
34E0020,34E,31619
34E0020,34E,32619
34E0020,34E,33619
34E0020,34E,34619
34E0020,34E,22618
34E0020,34E,23618
34E0020,34E,24618
34E0020,34E,24628
34E0020,34E,25618
34E0020,34E,26618
34E0020,34E,26619
34E0020,34E,26620
34E0020,34E,26621
34E0020,34E,26622
34E0020,34E,26623
34E0020,34E,26624
34E0020,34E,26625
34E0003,34E,87619
34E0003,34E,98618
34E0003,34E,97618
34E0003,34E,96618
930016,93,2850
930016,93,2851
930016,93,2852
930016,93,2853
930016,93,2854
930016,93,2855
930016,93,12829
930016,93,2829
930016,93,8310
930018,93,2874
930018,93,12821
930018,93,2844
930018,93,2845
930018,93,2846
930018,93,2847
930018,93,2848
930018,93,2849
930018,93,2850
930018,93,2851
930018,93,2852
930018,93,2853
930018,93,2854
930018,93,2855
930018,93,12829
930018,93,2829
34E0013,34E,10642
34E0013,34E,596
34E0013,34E,597
34E0003,34E,95618
34E0003,34E,94618
34E0003,34E,93618
34E0003,34E,92618
34E0003,34E,91618
34E0003,34E,90618
34E0003,34E,89618
34E0003,34E,88618
34E0003,34E,89619
34E0003,34E,89617
34E0003,34E,42618
34E0003,34E,43618
34E0003,34E,44618
34E0003,34E,45618
34E0003,34E,61847
34E0003,34E,46618
34E0003,34E,47618
34E0003,34E,48618
050009,05,35201
050009,05,5202
050009,05,5203
050009,05,121
050009,05,25203
050009,05,25202
050009,05,35202
050009,05,13
050009,05,14
050009,05,15
050009,05,16
050009,05,17
050009,05,18
050009,05,19
050009,05,20
050009,05,21
050009,05,22
050009,05,23
050009,05,24
050009,05,25
050009,05,26
070010,07,16535
070010,07,6564
070010,07,888
070010,07,889
050009,05,27
050009,05,28
050009,05,29
100016,10,178
100016,10,176
100016,10,1395
100016,10,1396
100016,10,1397
100016,10,1398
100016,10,21158
100016,10,11158
100016,10,10015
100016,10,5089
100016,10,855
100016,10,8
100016,10,20009
100016,10,30009
100016,10,131
100022,10,33
100022,10,10033
100022,10,34
100022,10,35
100022,10,895
100022,10,896
100022,10,41
100022,10,42
100022,10,43
100022,10,44
100022,10,45
100022,10,46
100022,10,47
100022,10,48
34E0014,34E,10642
34E0014,34E,596
34E0014,34E,597
34E0014,34E,598
34E0014,34E,599
34E0014,34E,600
34E0014,34E,601
34E0014,34E,6022
34E0014,34E,603
34E0014,34E,10603
34E0014,34E,604
34E0014,34E,605
34E0014,34E,606
34E0014,34E,607
990017,99,5271
990017,99,55631
990017,99,55632
990017,99,55633
990017,99,5563
990017,99,5405
990017,99,5406
990017,99,45406
990017,99,5407
990017,99,5408
990017,99,5409
990017,99,5410
990017,99,5411
990017,99,5412
990017,99,5413
990017,99,5451
1010028,101,5333
1010028,101,5282
1010028,101,5283
1010028,101,5284
1010028,101,5285
1010028,101,5286
1010028,101,5287
1010028,101,5002
1010028,101,5031
1010028,101,5032
1010028,101,5290
1010028,101,5291
1010028,101,5292
1010028,101,5293
1010028,101,5294
1010064,101,2874
1010064,101,2717
1010064,101,2718
1010064,101,2719
1010064,101,2720
1010064,101,2721
1010028,101,5295
1010028,101,5296
1010028,101,5297
1010028,101,5298
1010028,101,5299
1010028,101,5300
1010028,101,5301
1010028,101,5302
1010028,101,5303
1010028,101,2704
1010028,101,2705
1010028,101,2706
1010028,101,2707
1010028,101,2708
1010028,101,2709
1010028,101,2710
34E0010,34E,87619
34E0010,34E,98618
34E0010,34E,97618
34E0010,34E,96618
34E0010,34E,95618
34E0010,34E,94618
34E0010,34E,93618
34E0010,34E,92618
34E0010,34E,91618
34E0010,34E,90618
34E0010,34E,89618
34E0010,34E,88618
34E0010,34E,89619
34E0010,34E,89617
34E0010,34E,42618
34E0010,34E,43618
34E0010,34E,44618
34E0010,34E,45618
34E0010,34E,61847
34E0010,34E,46618
34E0010,34E,47618
34E0010,34E,48618
34E0010,34E,61848
34E0010,34E,49618
34E0010,34E,50618
34E0010,34E,51618
34E0010,34E,61851
34E0010,34E,52618
34E0010,34E,53618
34E0010,34E,54618
34E0010,34E,55618
34E0010,34E,56618
34E0010,34E,57618
34E0010,34E,61857
34E0010,34E,58618
34E0010,34E,59618
34E0010,34E,60618
34E0010,34E,61618
34E0010,34E,61861
34E0010,34E,62618
34E0010,34E,63618
34E0010,34E,91619
34E0010,34E,46619
34E0010,34E,47619
080015,08,1789
080015,08,21158
080015,08,11158
080015,08,5089
080015,08,855
080015,08,8
080015,08,20009
080015,08,30009
080015,08,131
080011,08,17863
080011,08,1798
080011,08,1799
080011,08,11799
